trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.2, 'e': 0.6703200460356393}",20,0,12.844991356252864,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.2, 'e': 0.6669768108584744}",20,0,10.128218204731727,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.2, 'e': 0.6636502501363194}",20,0,-18.11426193319713,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.2, 'e': 0.6603402807049829}",25,0,15.992636409943248,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.6570468198150567}",25,0,17.92571288580207,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.2, 'e': 0.6537697851298473}",20,0,-33.38959061453924,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
86,False,"{'a': 0.2, 'e': 0.6505090947233165}",20,0,-21.836463993534295,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.2, 'e': 0.6472646670780347}",25,0,26.50979289902141,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.6440364210831414}",20,0,-28.078547689289085,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
89,False,"{'a': 0.2, 'e': 0.6408242760323187}",30,0,32.636857342149554,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.2, 'e': 0.6376281516217733}",20,0,18.87054385529403,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.6344479679482282}",25,0,-5.68371285090099,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
92,False,"{'a': 0.2, 'e': 0.631283645506926}",30,0,20.496097134978285,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.2, 'e': 0.6281351051896408}",30,0,37.875518986917136,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.6250022682827008}",25,0,7.825017157194681,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
95,False,"{'a': 0.2, 'e': 0.62188505646502}",20,0,-18.460265166956795,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.2, 'e': 0.6187833918061408}",25,0,17.733061129906943,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.2, 'e': 0.6156971967642851}",20,0,-22.748121698349593,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
98,False,"{'a': 0.2, 'e': 0.6126263941844161}",20,0,8.140105804750856,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.2, 'e': 0.6095709072963093}",20,0,11.065713056374957,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.2, 'e': 0.6065306597126334}",20,0,27.17541339606122,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.2, 'e': 0.6035055754270405}",30,0,40.76465559562027,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.2, 'e': 0.6004955788122659}",20,0,19.562619909959146,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
